% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), AC , 1 MOhm , 10 Vpp, amplitude 5 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC , 1 MOhm , 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 1.000000 kHz to 200.0000 kHz with 8,192 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 2.00 ms, 3 cycles; Settling time 100 us, 1 cycles
% 
% Acquired 2026-04-23 T 11:28:44 +0200
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.26629971e+03, -2.4912e-01, -1.8035e+02
1.26711908e+03, -2.8818e-01, -1.7750e+02
1.26793897e+03, 1.0055e-01, -1.7881e+02
1.26875940e+03, -6.0318e-01, -1.8046e+02
1.26958036e+03, -4.1706e-01, -1.7792e+02
1.27040185e+03, -2.2465e-01, -1.7786e+02
1.27122387e+03, -5.2249e-02, -1.8033e+02
1.27204642e+03, 8.2062e-02, -1.8154e+02
1.27286951e+03, -3.4095e-02, -1.7803e+02
1.27369312e+03, -1.9290e-01, -1.8023e+02
1.27451728e+03, -1.6289e-01, -1.8320e+02
1.27534196e+03, 3.4390e-02, -1.8375e+02
1.27616718e+03, -2.6565e-01, -1.8441e+02
1.27699293e+03, -5.9818e-01, -1.8425e+02
1.27781921e+03, -9.9519e-01, -1.8709e+02
1.27864603e+03, -9.5626e-02, -1.8099e+02
1.27947339e+03, -7.1669e-01, -1.8478e+02
1.28030128e+03, -7.6178e-01, -1.8306e+02
1.28112971e+03, -1.0675e+00, -1.8393e+02
1.28195867e+03, -7.3783e-01, -1.8628e+02
1.28278817e+03, -6.5187e-01, -1.8036e+02
1.28361820e+03, 1.6412e-01, -1.8938e+02
1.28444878e+03, -2.6707e-01, -1.8253e+02
1.28527989e+03, -6.6648e-02, -1.7751e+02
1.28611154e+03, -6.1983e-01, -1.8304e+02
1.28694372e+03, -4.8543e-01, -1.8249e+02
1.28777645e+03, -4.0160e-01, -1.8128e+02
1.28860971e+03, -2.7040e-01, -1.8170e+02
1.28944351e+03, -4.5811e-01, -1.8234e+02
1.29027785e+03, -1.1865e-01, -1.8154e+02
1.29111274e+03, -5.2171e-01, -1.7853e+02
1.29194816e+03, -6.1673e-01, -1.8278e+02
1.29278412e+03, -4.4864e-01, -1.8292e+02
1.29362062e+03, -1.6610e-01, -1.8278e+02
1.29445767e+03, -8.3444e-01, -1.8275e+02
1.29529526e+03, -9.7627e-01, -1.8444e+02
1.29613338e+03, -7.1860e-01, -1.8012e+02
1.29697206e+03, -9.9231e-01, -1.8116e+02
1.29781127e+03, -1.0676e+00, -1.7722e+02
1.29865103e+03, 4.9769e-01, -1.8190e+02
1.29949133e+03, -3.3401e-01, -1.7957e+02
1.30033217e+03, -2.1242e-01, -1.8385e+02
1.30117356e+03, -8.3221e-02, -1.8467e+02
1.30201549e+03, -8.7485e-01, -1.8522e+02
1.30285797e+03, -1.0786e+00, -1.8384e+02
1.30370099e+03, -1.1236e+00, -1.8428e+02
1.30454455e+03, -1.5132e+00, -1.7963e+02
1.30538867e+03, -4.4213e-01, -1.7853e+02
1.30623333e+03, 5.3849e-01, -1.8157e+02
1.30707853e+03, 5.7803e-02, -1.7985e+02
1.30792429e+03, 2.0812e-02, -1.8046e+02
1.30877059e+03, -1.1505e+00, -1.8336e+02
1.30961743e+03, -9.8233e-01, -1.8223e+02
1.31046483e+03, -1.7568e+00, -1.8211e+02
1.31131277e+03, -1.8372e+00, -1.8722e+02
1.31216127e+03, -3.8329e-01, -1.7813e+02
